Animal number,1086
Age,19
Picture number,2
No,Size,Intensity
1,3.052068,316.150620
2,2.872262,226.149878
3,2.706003,276.834605
4,2.944712,325.312762
5,2.638971,247.104852
6,2.955322,331.213424
7,2.856319,273.698696
8,2.956073,330.635922
9,2.773185,244.524284
10,2.467091,299.378970
11,2.956685,259.725012
12,2.683269,368.771835
13,2.738020,202.388367
14,2.922558,351.665505
15,2.680995,288.762609
16,2.652935,306.722678
17,2.897792,211.728221
18,2.638230,304.309839
19,2.999569,289.049191
20,2.616803,322.086919
21,3.001424,294.901890
22,2.521387,289.284172
23,2.638506,243.721291
24,2.913154,397.744570
25,2.896135,344.310631
26,2.400425,305.379569
27,2.974239,341.296522
28,2.548081,218.882427
29,2.650753,261.481465
30,3.091604,313.504704
31,2.902945,235.346309
32,2.823241,322.457051
33,2.524909,371.259159
34,2.634176,292.082490
35,2.496598,307.842899
36,3.076448,366.804827
37,2.943971,239.779448
38,2.461622,296.417437
39,2.513985,245.339823
40,2.402394,279.446633
41,3.099753,247.025360
42,2.666628,285.485971
43,2.636188,231.291755
44,2.753579,250.518207
45,3.045093,252.689179
