Animal number,1334
Age,18
Picture number,7
No,Size,Intensity
1,2.980541,345.150985
2,3.037955,343.979277
3,3.088247,169.908756
4,2.773170,369.476259
5,2.760001,229.646295
6,2.843043,314.896414
7,2.878004,305.828191
8,2.419040,356.000865
9,2.825406,254.535503
10,2.442996,319.573674
11,2.509575,135.639321
12,2.580858,230.500951
13,2.716874,350.261846
14,2.726104,242.629912
15,3.060582,340.710884
16,3.016080,296.968981
17,2.937576,232.144034
18,2.851441,246.617365
19,2.614603,328.458796
20,2.598099,191.173749
21,3.062303,178.316700
22,2.419906,264.846961
23,3.092044,306.179189
24,2.511266,331.874248
25,3.032642,325.666697
26,3.088342,202.873465
27,2.895363,346.001780
28,2.400453,428.946687
29,2.849586,202.983148
30,2.531978,185.274485
31,2.869853,262.230905
32,2.802877,218.231473
33,2.499716,335.338067
34,2.540795,339.099744
35,2.415871,281.900421
36,2.635840,203.847067
37,2.938653,266.213185
38,2.724454,229.629321
39,2.882039,261.752579
40,2.795359,292.819404
41,2.932476,252.494710
42,2.615277,248.009983
43,2.545567,334.086560
44,2.785408,271.434327
45,2.787194,199.530324
46,2.519838,307.699043
47,2.448686,338.332353
