Animal number,1405
Age,15
Picture number,8
No,Size,Intensity
1,3.001356,282.636416
2,2.961959,269.590097
3,2.895668,221.383130
4,3.036941,313.848139
5,2.459797,275.728325
6,2.483365,333.703933
7,2.695266,328.611264
8,2.888794,253.097214
9,2.510126,250.350840
10,3.065186,318.709438
11,2.772918,330.374134
12,2.822671,330.614853
13,2.869991,270.325729
14,3.001517,325.959093
15,2.662717,278.913754
16,2.567947,218.495094
17,2.642222,261.709755
18,2.748985,325.616106
19,2.966128,252.917000
20,2.653461,241.179204
21,3.015010,370.719628
22,2.807477,250.388141
23,2.956725,184.510676
24,2.769104,187.141854
25,2.620861,218.253417
26,2.848429,254.393384
27,2.867511,276.431135
28,2.650267,242.310298
29,2.748905,385.150609
30,2.576270,232.901562
31,2.598148,303.781193
32,2.564557,222.968500
33,2.613078,265.985432
34,2.707593,272.219622
35,2.861146,261.325521
36,2.838461,322.041856
37,2.896073,285.056610
38,3.052892,439.512019
39,2.551783,160.129363
40,2.584886,266.125617
41,2.729825,298.190934
42,2.623453,249.548197
43,2.953391,120.499647
44,3.142387,210.319725
45,2.832759,284.272519
46,2.971601,295.515373
