Animal number,1043
Age,20
Picture number,2
No,Size,Intensity
1,2.507406,247.224792
2,2.280262,265.312104
3,2.832625,321.369840
4,2.482589,365.740254
5,2.286924,316.389563
6,2.681452,218.387566
7,2.688011,270.509454
8,2.310177,337.403093
9,2.851022,473.868012
10,2.816958,262.831227
11,2.745620,302.277822
12,2.690064,234.333617
13,2.283144,289.485942
14,2.243496,247.651676
15,2.616859,406.152646
16,2.285586,301.629562
17,2.216903,298.166739
18,2.601578,298.721193
19,2.732898,297.431751
20,2.265797,312.873903
21,2.640537,350.256667
22,2.637483,267.321829
23,2.571585,328.502943
24,2.837495,323.453804
25,2.837884,316.838535
26,2.424569,242.582629
27,2.424111,297.352643
28,2.533512,203.076369
29,2.487952,247.682892
30,2.876286,316.286428
31,2.644695,266.869878
32,2.676523,237.944644
33,2.332057,373.054915
34,2.372511,229.702456
35,2.656466,301.874421
36,2.200282,282.840125
37,2.752938,240.535658
38,2.271929,314.922361
39,2.837469,270.809155
