Animal number,1355
Age,16
Picture number,7
No,Size,Intensity
1,2.726923,343.307440
2,3.029978,315.448532
3,3.101815,349.779819
4,2.911044,371.736411
5,2.793731,226.672043
6,2.935126,256.650883
7,3.050530,303.804441
8,2.475141,259.269687
9,2.942513,314.604334
10,2.922567,288.642404
11,2.667894,299.688217
12,2.956272,272.524445
13,2.837558,264.042709
14,3.038704,269.556576
15,2.454816,232.469138
16,3.127032,344.303744
17,2.882095,270.065531
18,3.061684,239.867325
19,2.678079,255.633051
20,2.882564,220.448272
21,2.545537,113.963263
22,2.589350,358.920615
23,3.013963,332.977252
24,2.746372,387.956887
25,3.133883,294.774109
26,3.051991,213.398049
27,2.893725,363.392119
28,2.633078,247.913608
29,2.503735,260.807704
30,2.742330,310.279777
31,2.671513,262.464220
32,2.668812,250.381753
33,2.915720,136.361281
34,2.676238,327.239344
35,2.672052,328.317394
36,2.868637,276.284957
37,3.059111,191.469373
38,2.756691,329.905039
39,3.032377,200.505345
40,2.478459,299.472162
41,3.105818,302.966544
42,2.789447,257.928677
43,2.885567,211.519584
44,2.725100,349.310430
45,3.015255,418.939338
46,2.588286,191.928493
47,2.511064,293.970791
