Animal number,1405
Age,15
Picture number,9
No,Size,Intensity
1,2.974456,235.552414
2,2.797640,387.896337
3,2.820545,298.292265
4,2.554524,285.110567
5,2.707280,226.083690
6,3.106745,144.164364
7,2.578539,374.509099
8,2.963802,281.719890
9,2.993229,193.739094
10,2.792244,231.661612
11,2.998351,219.390417
12,2.933241,237.461239
13,2.843528,311.471222
14,2.848380,459.368878
15,2.883172,316.237911
16,2.900088,225.020304
17,3.093011,258.454689
18,3.033227,216.661700
19,2.929722,178.175272
20,2.736924,234.592725
21,2.571353,304.889485
22,2.931760,271.783870
23,2.739160,324.449293
24,2.940330,258.421343
25,2.532792,221.260069
26,2.601389,250.310100
27,3.125919,121.484644
28,2.972784,249.284692
29,2.838710,369.399569
30,2.641044,149.674873
31,2.589258,188.994636
32,2.779926,389.991582
33,2.486553,214.357871
34,2.459553,222.715668
