Animal number,1234
Age,19
Picture number,1
No,Size,Intensity
1,2.986387,369.989077
2,2.967277,221.236283
3,3.168542,319.205780
4,3.182457,161.624213
5,3.114889,341.069480
6,3.064741,283.331103
7,2.976954,328.726787
8,3.132942,264.936294
9,3.065074,168.329662
10,3.077371,274.103742
11,3.097932,330.305944
12,2.641232,300.409492
13,2.839305,205.694387
14,2.707489,259.527883
15,2.687321,234.960345
16,2.518303,266.568848
17,3.094924,207.105929
18,3.163383,341.871458
19,3.058574,267.292479
20,2.563897,307.151819
21,3.071845,379.018680
22,3.084167,346.082967
23,3.107522,402.789199
24,2.668935,298.282820
25,2.677718,306.294014
26,2.542822,366.748825
27,2.629185,200.828176
28,2.918516,359.197607
29,3.161048,206.121936
30,3.054711,288.545453
31,2.589930,239.307274
32,2.662779,316.953005
33,2.507444,219.271414
34,3.147786,267.095791
35,2.919759,165.956164
36,2.726469,258.494564
37,3.013656,285.462767
38,2.674921,210.427466
39,2.919645,218.250341
40,2.722129,247.699968
41,2.786901,317.755357
42,2.618877,375.324689
43,2.842419,363.964880
44,2.568059,313.705856
