Animal number,875
Age,22
Picture number,2
No,Size,Intensity
1,2.100579,215.185001
2,2.319126,317.450305
3,2.154939,214.147139
4,2.751622,316.258316
5,2.735036,298.852464
6,2.327364,294.687242
7,2.572344,329.878980
8,2.567971,382.051006
9,2.210983,383.591474
10,2.572146,242.690115
11,2.211760,242.276772
12,2.120332,313.059682
13,2.496915,217.427877
14,2.183070,251.895564
15,2.402916,324.436359
16,2.546265,196.591969
17,2.446885,202.895855
18,2.331164,286.495946
19,2.205069,278.296226
20,2.227850,282.953650
21,2.459442,267.110109
22,2.180558,292.055110
23,2.534542,235.198029
24,2.522770,269.181064
25,2.270829,229.667063
26,2.506809,250.747526
27,2.685691,250.518125
28,2.152310,268.507885
29,2.239531,332.175271
30,2.117485,274.574597
31,2.749263,310.431644
32,2.584252,220.119658
33,2.356852,263.349199
34,2.697976,382.746712
35,2.626040,300.994302
36,2.516777,316.655244
37,2.741335,339.955224
38,2.105294,332.296888
39,2.414558,313.147298
40,2.262317,272.567518
41,2.139907,264.839680
42,2.175557,280.949767
43,2.107111,296.667177
44,2.347947,206.944819
45,2.336349,329.834310
46,2.667510,348.750217
47,2.785276,202.404305
48,2.228414,227.642525
49,2.122205,340.941040
