Animal number,1283
Age,17
Picture number,2
No,Size,Intensity
1,2.585518,255.142437
2,2.502516,264.119892
3,2.592576,203.335926
4,2.728382,240.038149
5,2.765411,301.711896
6,2.558552,202.678972
7,2.655144,312.673379
8,2.582782,195.226431
9,2.612598,276.632155
10,2.777561,198.564277
11,2.745326,255.649615
12,2.426135,356.725768
13,2.673807,207.932370
14,2.891562,240.484349
15,2.704521,322.717370
16,2.981994,348.103441
17,2.804478,255.027013
18,2.754740,119.982367
19,2.506313,249.085604
20,2.433011,267.601183
21,2.535010,299.522225
22,2.872117,368.341131
23,2.964929,253.500021
24,3.018810,239.226570
25,2.404917,307.259437
26,2.603171,237.050965
27,3.007349,326.396674
28,2.536351,375.633338
29,2.516741,176.711987
30,2.524624,289.402125
31,2.537473,261.483242
32,2.590781,284.952873
33,3.076060,231.019584
34,2.883604,197.584291
35,2.697525,248.827931
36,2.849738,314.144097
37,2.649091,211.019093
38,2.893876,210.077594
39,2.520866,273.492270
40,2.703698,340.757306
41,2.411190,301.410628
42,2.699916,184.083624
43,2.825024,225.210073
44,3.063654,268.729969
45,2.967851,376.762730
46,2.753713,244.249710
47,2.514241,196.479546
48,2.579718,341.774742
