Animal number,1056
Age,20
Picture number,2
No,Size,Intensity
1,2.289593,313.939661
2,2.244625,229.838339
3,2.859176,360.687657
4,2.895326,256.995823
5,2.410454,309.477601
6,2.368057,265.971237
7,2.680195,289.578538
8,2.521818,320.656689
9,2.231971,285.440147
10,2.277517,282.014983
11,2.682237,302.913772
12,2.222015,254.665533
13,2.865191,389.205336
14,2.243228,268.151222
15,2.267430,279.141862
16,2.365944,158.956036
17,2.311006,299.878569
18,2.806016,201.609229
19,2.847555,317.256385
20,2.387763,394.318786
21,2.891892,227.221119
22,2.514438,409.698530
23,2.840585,289.066771
24,2.288837,251.555041
25,2.648833,312.452643
26,2.766879,324.692718
27,2.249683,398.765098
28,2.258329,328.044437
29,2.436467,242.012673
30,2.899504,287.544684
31,2.280175,189.700333
32,2.266323,312.817875
33,2.325960,353.496028
34,2.847913,354.750860
35,2.488695,219.561466
36,2.805433,261.870360
37,2.426257,279.590276
38,2.537651,232.610814
39,2.311880,297.723915
40,2.402632,254.287003
41,2.781948,403.211196
42,2.558141,205.415928
43,2.825356,296.581218
44,2.541924,265.556023
45,2.835053,231.070881
46,2.878888,366.114259
