Animal number,1234
Age,19
Picture number,8
No,Size,Intensity
1,2.677240,274.763519
2,2.744464,350.941782
3,2.627532,422.723570
4,2.739572,405.220312
5,2.620969,326.495195
6,2.577267,227.048926
7,2.996388,308.473144
8,3.095162,229.341233
9,2.605515,149.941481
10,3.051328,352.911032
11,2.814149,197.985009
12,2.861183,254.102015
13,2.893256,323.933839
14,2.800821,283.142470
15,3.169707,302.854737
16,2.815354,296.576117
17,3.143761,213.870541
18,2.793813,184.798110
19,2.885168,280.505092
20,3.059743,322.043674
21,2.949101,247.491451
22,2.685414,246.406582
23,2.722001,255.904784
24,2.712682,229.062665
25,2.762329,290.627637
26,2.747524,351.817000
27,3.092953,257.408239
28,2.690203,391.367684
29,3.021243,178.760320
30,2.751557,229.905654
31,3.198829,287.533909
32,3.127428,250.415718
33,3.092136,277.835537
34,3.138462,238.679323
35,2.681495,340.253551
36,2.614947,332.006222
37,3.106608,421.438145
38,2.871470,314.415858
39,3.086470,257.298127
40,2.747278,323.915042
41,3.083789,317.970949
42,3.122840,234.080558
43,2.985744,350.862770
44,2.706751,245.359421
45,2.865088,251.102648
46,3.098849,286.912677
47,2.635103,261.874540
48,2.648273,217.287744
