Animal number,1355
Age,16
Picture number,6
No,Size,Intensity
1,2.870505,255.350811
2,2.815820,301.424667
3,2.987330,289.881995
4,2.533909,348.726466
5,3.058364,251.756697
6,3.118239,204.182017
7,2.462872,293.355064
8,2.757605,311.948445
9,2.974572,227.879906
10,2.598794,125.753470
11,2.700819,229.501314
12,2.909358,282.038914
13,3.086921,224.970086
14,3.069826,198.446118
15,2.486259,166.932585
16,2.851232,245.679596
17,2.809435,275.898976
18,2.507911,374.132024
19,2.515751,313.464036
20,2.657621,315.661376
21,2.930932,259.138049
22,2.591593,210.761749
23,2.674234,231.715700
24,2.965276,343.254948
25,3.066025,315.728554
26,2.855656,258.045680
27,3.019604,232.927498
28,2.885709,256.503893
29,2.631032,298.579990
30,2.662793,383.770469
31,2.877502,311.616363
32,2.945353,227.459038
33,2.832392,294.720670
34,2.809626,278.709018
35,2.649978,183.534670
36,3.088549,289.978086
37,2.620455,288.712619
38,2.679157,341.277798
39,2.519147,268.702690
40,2.460394,199.868317
41,3.023254,335.584519
42,3.000463,339.796379
43,3.038859,227.754426
