Animal number,1405
Age,15
Picture number,4
No,Size,Intensity
1,3.123155,309.347237
2,3.084238,402.932558
3,2.741666,155.280650
4,2.900745,247.592369
5,2.544419,298.263932
6,2.457254,207.209531
7,2.647202,280.997480
8,2.673490,233.766636
9,2.742246,131.733735
10,2.857079,412.229669
11,2.559074,302.692899
12,2.966396,261.168678
13,3.009083,292.519184
14,3.072400,280.492737
15,2.571644,359.978264
16,2.920365,125.736578
17,2.468345,338.995250
18,3.073586,250.633350
19,2.890399,213.834913
20,2.598011,207.071318
21,2.672537,97.114531
22,2.952890,233.596733
23,3.095373,346.550260
24,2.825196,332.810214
25,2.847252,238.246521
26,3.082023,281.386962
27,2.556534,339.976933
28,2.777309,358.797549
29,3.089029,296.117664
30,2.590091,298.983724
31,2.530283,276.432219
32,2.681192,296.935948
33,3.089320,255.083840
