Animal number,1056
Age,20
Picture number,4
No,Size,Intensity
1,2.326194,333.825280
2,2.752424,356.026874
3,2.538650,372.633150
4,2.517988,288.165055
5,2.724605,267.601057
6,2.816021,268.280342
7,2.812395,301.274094
8,2.496813,201.107199
9,2.772238,287.077917
10,2.451311,309.764249
11,2.587778,303.369156
12,2.573858,222.487303
13,2.574833,246.270830
14,2.301314,338.734766
15,2.812151,226.086964
16,2.251569,345.805470
17,2.372897,270.618183
18,2.565469,259.908960
19,2.757657,218.262457
20,2.320981,329.477284
21,2.823416,206.717908
22,2.473564,346.995437
23,2.670017,353.030091
24,2.565296,277.596963
25,2.859640,252.906518
26,2.692795,278.089931
27,2.872643,278.510647
28,2.832496,245.368790
29,2.515900,231.164968
30,2.492569,194.906967
31,2.397591,259.082062
32,2.814384,299.529656
