Animal number,1283
Age,17
Picture number,6
No,Size,Intensity
1,2.818160,150.228587
2,2.680635,183.485792
3,2.576796,313.884871
4,2.896344,276.652844
5,2.972763,319.643143
6,2.487526,344.668466
7,2.646507,317.522571
8,2.922905,300.856970
9,2.708247,248.578653
10,2.588758,199.109390
11,3.098057,382.465957
12,3.010456,309.987973
13,2.866994,375.931215
14,3.047272,297.592373
15,2.414856,217.657172
16,2.732204,287.041887
17,2.603100,254.779530
18,2.578449,310.559414
19,2.791888,263.274003
20,2.422837,282.915796
21,2.672268,170.845641
22,2.895559,256.045143
23,2.453534,243.265103
24,2.972358,326.778365
25,2.466542,155.317328
26,2.810046,242.132319
27,3.067904,279.689582
28,2.909400,330.573590
29,2.572221,246.077060
30,2.560090,311.766955
31,2.504140,172.253632
32,2.861882,209.933880
33,2.654606,311.638856
34,2.792113,213.967721
35,2.951360,272.866165
36,2.974905,231.315878
37,2.729099,254.591290
