Animal number,1234
Age,19
Picture number,5
No,Size,Intensity
1,2.798464,276.115537
2,2.818166,378.099319
3,2.983627,289.364318
4,3.131231,312.321430
5,2.671744,406.224695
6,2.991217,338.526010
7,2.683085,255.442579
8,3.189293,242.405367
9,2.812977,322.169513
10,2.994588,433.153987
11,2.604158,264.632998
12,2.623308,252.133072
13,3.013161,323.474699
14,2.953168,236.423741
15,3.112764,297.369765
16,2.630737,303.229837
17,2.953330,243.589528
18,2.908678,337.156226
19,2.764124,344.935810
20,2.645450,344.602325
21,3.037441,450.684231
22,2.787141,339.739837
23,3.122603,262.722082
24,2.528080,291.884558
25,2.772253,183.256802
26,2.587394,305.901673
27,2.873670,255.648198
28,2.892025,227.796926
29,2.509535,362.211608
30,2.792719,278.028885
31,2.856249,120.696381
32,3.119005,419.285768
33,3.171887,392.093679
34,2.565524,354.189757
35,2.636644,322.833768
36,2.705703,222.319699
37,2.828889,409.133933
38,2.846033,223.962222
39,2.942379,299.126348
40,2.754093,281.906167
41,2.520835,313.293455
42,2.774355,382.365530
43,2.615299,249.047315
44,2.705953,299.656066
45,3.140707,206.504903
46,2.614216,299.281338
47,2.694762,184.760936
48,2.641417,313.819823
